sample_id,group,period,channel,keyword,pub_date,content,post_id
86,FM_Direct,post,blog,감사원 백신,2026-02-23,"이물질·유효기간 만료 백신 접종? 질병청, 뒤늦게 지침 개선... 
1420만 회분, 이물질 백신 그대로 접종됐다? 감사원 보고서에 따르면, 2021년 3월부터 2024년 10월까지 의료기관에서 코로나19 백신 이물질 신고가 무려 1285건이나 접수되었습니다. 그런데 질병관리청은 이 사실을...",0a8e0d678ad37f42
87,FM_Direct,post,blog,코로나 백신 곰팡이,2026-02-24,"코로나 백신 이물질 논란, 1420만 회분 접종? 이건 꼭... 
세상에, 2021년부터 무려 3년 넘는 시간 동안 코로나19 백신에서 곰팡이나 머리카락 같은 이물질이 나왔다는 신고가 1,285건이나 접수되었다니, 이게 정말 맞는 얘긴가 싶더라고요. 그것도 무려 1,420만 회분이나...",e9dd0804cc09a7ff
88,Court,post,news,백신 피해 법원,2026-02-27,[금주의 제약·바이오 톡톡] 한미약품 대주주 지분 취득 논란... 삼성바... 삼성바이오로직스의 영업비밀을 유출해 경쟁사에 이직한 전 직원이 법원으로부터 징역형의 유죄 판결을... 후”라며 “피해회사의 신뢰를 심각히 훼손했으며 죄질이 경미하지 않다”고 판단했다. A씨는 지난 2022년 6월...,418460943e4feb27
89,Chronic,pre,blog,백신 피해 보상,2026-02-22,"제1장: 신체 주권과 시스템의 기만
시스템은 '정액 보상'으로 책임을 털어내려 하지만, 개인의 삶은 '정성적 비극'으로 기록됩니다. 6. 일본의 구제 철학 vs 한국의 입증 책임 일본의 '예방접종 피해 구제 제도'는 ""의학적으로 인과성을 완전히...",a4babff4a3d13a07
90,Court,pre,blog,백신 피해 법원,2026-02-22,"대한민국 2.0의 '출범 스케줄 사법부의 한계: 대법원은 &quot;이 법 조항엔 관세라는 단어가 없다&quot;는 식의 기술적인 판결만 내렸습니다. 결과: &quot;절망, 분노, 체념&quot; 같은 시민들의 정성적 피해를 막는 '철학적 방어막'이 되지 못했습니다. 오히려...",4469366325f3008c
91,Court,post,blog,코로나 백신 소송,2026-03-05,&quot; 남편의 질문이 판결이 되기까지… 코로나19 백신 인과성 첫... &quot; &quot; &lt; &gt; #코로나백신부작용 #백신인과성판결 #심근경색사망보상 #질병관리청항소 #코로나피해보상특별법 #취재파일 #백신부작용소송 #방역수칙협조 #국가보상책임 #사회뉴스,046cf76484091ad1
92,Chronic,pre,blog,코로나 백신 정부 책임,2026-02-19,"미국 국방부, 미국인 감시를 거부하는 인공지능 블랙리스트에... 
이는 사생활 보호, 군사적 자율성, 기업의 책임, 그리고 궁극적으로 시민과 정부 중 누가, 그리고... ******************************************************************* 아래는 주요(主要)한 기사 내용 등 코로나19...",58aa68b6c9313faa
93,Chronic,post,blog,코로나 백신 피해,2026-03-02,"이란, 대규모 폭탄 테러 이틀째 속출…하메네이 최고지도자... 
주로 미국의 걸프만 동맹국들이 피해를 입었는데, 이란의 탄도 미사일이 이 지역의 미군 기지를... https://blog.naver.com/hikaisha/224197755551 코로나19 팬데믹(인간 통제 등) + 부정선거 세계경제포럼 = 중공을...",5807308aefb83280
94,Court,pre,blog,백신 피해 법원,2026-02-21,법원이 빌 게이츠와 화이자 CEO에게 mRNA 백신으로 인한 피해... ■ 네덜란드 법원이 빌 게이츠와 화이자 최고 경영자(CEO)에게 mRNA 백신으로 인한 피해 주장과 관련된 소송에서 증언하도록 지시한 것으로 전해졌다. 본 소송은 심각한 반응을 포함한 백신 관련...,194c939f380df86c
95,Chronic,post,blog,코로나 백신 부작용,2026-02-24,"260224(화)
어제 뉴스기사에 코로나백신 이물질에 관한 내용이 나왔고 (원래 대부분 알고 있던 사실) 유튜브댓글에 백신 부작용에 대한 실제 사례 글들이 넘쳐난다. 요즘 내가 느끼는건 누구도 완벽히 신뢰해선 안된단것....",7a499bd343b38411
96,Chronic,pre,blog,코로나 백신 부작용,2026-02-21,"강아지 접종 시기 및 주기 : 첫접종 못하고 돌아온 썰
이번 포스팅에서는 강아지 예방접종 시기 및 주기와 종류, 그리고 부작용 대처법을 자세하게... 코로나 장염 & 켄넬코프: 소화기 질환과 전염성 기관지염을 막기 위한 필수 백신입니다.  광견병: 법적 의무...",9f928bce6b9e0c61
97,FM_Direct,post,blog,코로나 백신 곰팡이,2026-02-28,"제약·바이오 완전정복| 1부 기초다지기 | 1편
돌아와 보니 방치된 배양 접시에서 곰팡이(Penicillium)가 주변 세균을 죽이고 있었다. 페니실린의... 화이자-바이오앤텍과 모더나는 mRNA 기술 로 1년도 안 돼 코로나 백신을 만들어냈다. 기존 백신 개발에...",6a306af81956bb1c
98,FM_Direct,pre,blog,코로나 백신 이물질,2026-02-10,"[스누피의 건강안전상식 3.12] 폐렴(肺炎, pneumonia)의 뜻, 유래... 
(RSV), 코로나바이러스 등 비정형 병원체: 마이코플라즈마(Mycoplasma pneumoniae), 클라미디아(Chlamydia... 폐렴(이물질이 기도로 들어가 발생) ♧ 한자 및 고사성어 폐염일색(肺炎一色): 폐렴이 만연한 상황을...",a9fa18c3adfac88e
99,Court,pre,blog,코로나 백신 소송,2026-01-09,사회 일반..네이버(언론사제공) 2026년1월9일 서울중앙지법 형사합의2 KBS 2시간전 최태원-노소영 이혼소송 파기환송심 시작…노소영 출석 최태원 SK그룹 회장과 노소영 아트센터 나비 관장의 이혼소송 파기환송심 첫 변론이 오늘(9일) 열립니다. 서울고법...,4e2f8cce179750cd
100,Court,post,blog,코로나 백신 소송,2026-03-05,3월5일 뉴스 및 관점 그동안 모더나를 괴롭혔던 LNP 기술 특허 소송이 합의로 끝났습니다. 덕분에 미래 파이프라인(코로나+독감 백신 등) 개발에 속도가 붙을 전망이에요. 투자자들은 &quot;리스크가 확정적으로 줄었다&quot;며 환호...,f46fe78588f6d0ae
